Year,Nintendo,Other,PC,Sega,Sony,Xbox,Nintendo_top,Other_top,PC_top,Sega_top,Sony_top,Xbox_top
1980,0,1.26,0,0,0,0,-;-,Asteroids;2600,-;-,-;-,-;-,-;-
1981,0,0.78,0,0,0,0,-;-,Pitfall!;2600,-;-,-;-,-;-,-;-
1982,0,0.8,0,0,0,0,-;-,Pac-Man;2600,-;-,-;-,-;-,-;-
1983,1.83,0.53,0,0,0,0,Baseball;NES,Pitfall II: Lost Caverns;2600,-;-,-;-,-;-,-;-
1984,3.85,0.27,0,0,0,0,Duck Hunt;NES,Beamrider;2600,-;-,-;-,-;-,-;-
1985,4.46,0.45,0.03,0,0,0,Super Mario Bros.;NES,Ghostbusters;2600,Alter Ego;PC,-;-,-;-,-;-
1986,1.92,0.33,0,0,0,0,The Legend of Zelda;NES,Solaris;2600,-;-,-;-,-;-,-;-
1987,1.98,0.33,0,0,0,0,Zelda II: The Adventure of Link;NES,Kung-Fu Master;2600,-;-,-;-,-;-,-;-
1988,3.87,0.38,0.03,0,0,0,Super Mario Bros. 3;NES,River Raid II;2600,SimCity;PC,-;-,-;-,-;-
1989,4.86,0.31,0,0,0,0,Tetris;GB,Double Dragon;2600,-;-,-;-,-;-,-;-
1990,3.12,0,0,2.6,0,0,Super Mario World;SNES,-;-,-;-,Streets of Rage;GEN,-;-,-;-
1991,0.7,0,0,4.34,0,0,The Legend of Zelda: A Link to the Past;SNES,-;-,-;-,Sonic the Hedgehog;GEN,-;-,-;-
1992,1.95,0,0.61,1.81,0,0,Super Mario Land 2: 6 Golden Coins;GB,-;-,SimCity 2000;PC,Sonic the Hedgehog 2;GEN,-;-,-;-
1993,0.87,0.11,0,0.46,0,0,Super Mario All-Stars;SNES,The King of Fighters '94 (CD);NG,-;-,-;GEN,-;-,-;-
1994,0.83,0.16,2.14,0.34,0.35,0,Donkey Kong Country;SNES,Samurai Shodown II;NG,Doom II: Hell on Earth;PC,Sonic & Knuckles;GEN,Battle Arena Toshinden;PS,-;-
1995,0.62,0.07,2.12,0.22,0.36,0,Donkey Kong Country 2: Diddy's Kong Quest;SNES,The King of Fighters '95;NG,Warcraft II: Tides of Darkness;PC,Virtua Fighter 2;SAT,Namco Museum Vol.1;PS,-;-
1996,1.59,0.04,2.65,0.2,0.58,0,Pokemon Red/Pokemon Blue;GB,The King of Fighters '96;NG,Microsoft Flight Simulator;PC,Fighters MEGAMiX;SAT,Crash Bandicoot;PS,-;-
1997,0.77,0,1.88,0.2,0.72,0,GoldenEye 007;N64,-;-,Half-Life;PC,Puyo Puyo Sun;SAT,Gran Turismo;PS,-;-
1998,0.88,0,0.41,0.2,0.68,0,Pokemon Yellow: Special Pikachu Edition;GB,-;-,Sim Theme Park;PC,Sonic Adventure;DC,Tekken 3;PS,-;-
1999,0.84,0.23,0.68,0.35,0.72,0,Pokemon Gold/Pokemon Silver;GB,Digimon Adventure: Anode Tamer;WS,Who wants to be a millionaire;PC,NFL 2K;DC,Gran Turismo 2;PS,-;-
2000,0.69,0.34,0.67,0.3,0.56,0.99,Pokémon Crystal Version;GB,Final Fantasy;WS,The Sims: Livin Large;PC,Crazy Taxi;DC,Final Fantasy IX;PS,NFL Fever 2002;XB
2001,0.68,0.14,0.37,0.13,0.73,0.67,Super Smash Bros. Melee;GC,Final Fantasy II;WS,The Sims: House Party;PC,Sakura Wars 3: Paris wa Moeteiru ka;DC,Gran Turismo 3: A-Spec;PS2,Halo: Combat Evolved;XB
2002,0.36,0,0.45,0.29,0.71,0.3,Pokemon Ruby/Pokemon Sapphire;GBA,-;-,The Sims: Unleashed;PC,"Sakura Wars 4: Koi Seyo,Otome;DC",Grand Theft Auto: Vice City;PS2,Tom Clancy's Splinter Cell;XB
2003,0.37,0,0.27,0,0.72,0.29,Mario Kart: Double Dash!!;GC,-;-,The Sims: Makin' Magic;PC,-;-,Need for Speed Underground;PS2,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;XB
2004,0.44,0,0.35,0,0.8,0.37,Pokemon FireRed/Pokemon LeafGreen;GBA,-;-,World of Warcraft;PC,-;-,Grand Theft Auto: San Andreas;PS2,Halo 2;XB
2005,0.55,0,0.12,0,0.58,0.29,Nintendogs;DS,-;-,The Sims 2: Nightlife;PC,-;-,Grand Theft Auto: Liberty City Stories;PSP,Call of Duty 2;X360
2006,0.84,0,0.06,0,0.38,0.4,Wii Sports;Wii,-;-,The Sims 2: Open for Business;PC,-;-,Final Fantasy XII;PS2,Gears of War;X360
2007,0.53,0,0.15,0.02,0.45,0.76,Wii Fit;Wii,-;-,World of Warcraft: The Burning Crusade;PC,Triggerheart Exelica;DC,Call of Duty 4: Modern Warfare;PS3,Halo 3;X360
2008,0.41,0,0.17,0.04,0.48,0.92,Mario Kart Wii;Wii,-;-,World of Warcraft: Wrath of the Lich King;PC,Pia Carrot e Youkoso!! 2.5;DC,Grand Theft Auto IV;PS3,Grand Theft Auto IV;X360
2009,0.45,0,0.16,0,0.47,0.7,Wii Sports Resort;Wii,-;-,The Sims 3;PC,-;-,Call of Duty: Modern Warfare 2;PS3,Call of Duty: Modern Warfare 2;X360
2010,0.37,0,0.27,0,0.45,0.93,Pokemon Black/Pokemon White;DS,-;-,StarCraft II: Wings of Liberty;PC,-;-,Call of Duty: Black Ops;PS3,Kinect Adventures!;X360
2011,0.36,0,0.25,0,0.47,0.7,Mario Kart 7;3DS,-;-,The Elder Scrolls V: Skyrim;PC,-;-,Call of Duty: Modern Warfare 3;PS3,Call of Duty: Modern Warfare 3;X360
2012,0.57,0,0.38,0,0.43,0.94,New Super Mario Bros. 2;3DS,-;-,Diablo III;PC,-;-,Call of Duty: Black Ops II;PS3,Call of Duty: Black Ops II;X360
2013,0.58,0,0.33,0,0.59,1.14,Pokemon X/Pokemon Y;3DS,-;-,StarCraft II: Heart of the Swarm;PC,-;-,Grand Theft Auto V;PS3,Grand Theft Auto V;X360
2014,0.59,0,0.28,0,0.55,0.72,Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS,-;-,The Sims 4;PC,-;-,Grand Theft Auto V;PS4,Grand Theft Auto V;XOne
2015,0.38,0,0.17,0,0.44,0.63,Splatoon;WiiU,-;-,Fallout 4;PC,-;-,Call of Duty: Black Ops 3;PS4,Call of Duty: Black Ops 3;XOne
2016,0.33,0,0.1,0,0.27,0.28,Pokemon Sun/Moon;3DS,-;-,Farming Simulator 17;PC,-;-,FIFA 17;PS4,FIFA 17;XOne
2017,0,0,0,0,0.02,0,-;-,-;-,-;-,-;-,Phantasy Star Online 2 Episode 4: Deluxe Package;PS4,-;-
2020,0.29,0,0,0,0,0,Imagine: Makeup Artist;DS,-;-,-;-,-;-,-;-,-;-
