Year,Nintendo,Other,PC,Sega,Sony,Xbox,Nintendo_top,Other_top,PC_top,Sega_top,Sony_top,Xbox_top
1980,0,4.31,0,0,0,0,-;-,Asteroids;2600,-;-,-;-,-;-,-;-
1981,0,4.5,0,0,0,0,-;-,Pitfall!;2600,-;-,-;-,-;-,-;-
1982,0,7.81,0,0,0,0,-;-,Pac-Man;2600,-;-,-;-,-;-,-;-
1983,3.2,1.31,0,0,0,0,Baseball;NES,Pitfall II: Lost Caverns;2600,-;-,-;-,-;-,-;-
1984,28.31,0.27,0,0,0,0,Duck Hunt;NES,Beamrider;2600,-;-,-;-,-;-,-;-
1985,40.24,0.45,0.03,0,0,0,Super Mario Bros.;NES,Ghostbusters;2600,Alter Ego;PC,-;-,-;-,-;-
1986,6.51,0.37,0,0,0,0,The Legend of Zelda;NES,Solaris;2600,-;-,-;-,-;-,-;-
1987,4.38,0.65,0,0,0,0,Zelda II: The Adventure of Link;NES,Kung-Fu Master;2600,-;-,-;-,-;-,-;-
1988,17.28,0.51,0.03,0,0,0,Super Mario Bros. 3;NES,River Raid II;2600,SimCity;PC,-;-,-;-,-;-
1989,30.26,0.47,0,0,0,0,Tetris;GB,Double Dragon;2600,-;-,-;-,-;-,-;-
1990,20.61,0,0,2.6,0,0,Super Mario World;SNES,-;-,-;-,Streets of Rage;GEN,-;-,-;-
1991,4.61,0,0,4.34,0,0,The Legend of Zelda: A Link to the Past;SNES,-;-,-;-,Sonic the Hedgehog;GEN,-;-,-;-
1992,11.18,0,2.14,6.03,0,0,Super Mario Land 2: 6 Golden Coins;GB,-;-,SimCity 2000;PC,Sonic the Hedgehog 2;GEN,-;-,-;-
1993,10.55,0.14,0,2.39,0,0,Super Mario All-Stars;SNES,The King of Fighters '94 (CD);NG,-;-,-;GEN,-;-,-;-
1994,9.3,0.25,3.61,1.82,1.27,0,Donkey Kong Country;SNES,Samurai Shodown II;NG,Doom II: Hell on Earth;PC,Sonic & Knuckles;GEN,Battle Arena Toshinden;PS,-;-
1995,5.15,0.2,4.21,1.93,3.84,0,Donkey Kong Country 2: Diddy's Kong Quest;SNES,The King of Fighters '95;NG,Warcraft II: Tides of Darkness;PC,Virtua Fighter 2;SAT,Namco Museum Vol.1;PS,-;-
1996,31.37,0.06,5.12,0.62,6.82,0,Pokemon Red/Pokemon Blue;GB,The King of Fighters '96;NG,Microsoft Flight Simulator;PC,Fighters MEGAMiX;SAT,Crash Bandicoot;PS,-;-
1997,8.09,0,4.12,0.6,10.95,0,GoldenEye 007;N64,-;-,Half-Life;PC,Puyo Puyo Sun;SAT,Gran Turismo;PS,-;-
1998,14.64,0,2.08,2.42,7.16,0,Pokemon Yellow: Special Pikachu Edition;GB,-;-,Sim Theme Park;PC,Sonic Adventure;DC,Tekken 3;PS,-;-
1999,23.1,0.28,1.94,1.2,9.49,0,Pokemon Gold/Pokemon Silver;GB,Digimon Adventure: Anode Tamer;WS,Who wants to be a millionaire;PC,NFL 2K;DC,Gran Turismo 2;PS,-;-
2000,6.39,0.51,2.99,1.81,5.3,0.99,Pokémon Crystal Version;GB,Final Fantasy;WS,The Sims: Livin Large;PC,Crazy Taxi;DC,Final Fantasy IX;PS,NFL Fever 2002;XB
2001,7.07,0.25,2.16,0.33,14.98,6.43,Super Smash Bros. Melee;GC,Final Fantasy II;WS,The Sims: House Party;PC,Sakura Wars 3: Paris wa Moeteiru ka;DC,Gran Turismo 3: A-Spec;PS2,Halo: Combat Evolved;XB
2002,15.85,0,3.76,0.29,16.15,3.02,Pokemon Ruby/Pokemon Sapphire;GBA,-;-,The Sims: Unleashed;PC,"Sakura Wars 4: Koi Seyo,Otome;DC",Grand Theft Auto: Vice City;PS2,Tom Clancy's Splinter Cell;XB
2003,6.95,0,1.92,0,7.2,2.49,Mario Kart: Double Dash!!;GC,-;-,The Sims: Makin' Magic;PC,-;-,Need for Speed Underground;PS2,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;XB
