Year,Nintendo,Other,PC,Sega,Sony,Xbox,Nintendo_top,Other_top,PC_top,Sega_top,Sony_top,Xbox_top
1980,0,11.38,0,0,0,0,-;-,Asteroids;2600,-;-,-;-,-;-,-;-
1981,0,35.77,0,0,0,0,-;-,Pitfall!;2600,-;-,-;-,-;-,-;-
1982,0,28.86,0,0,0,0,-;-,Pac-Man;2600,-;-,-;-,-;-,-;-
1983,10.96,5.83,0,0,0,0,Baseball;NES,Pitfall II: Lost Caverns;2600,-;-,-;-,-;-,-;-
1984,50.09,0.27,0,0,0,0,Duck Hunt;NES,Beamrider;2600,-;-,-;-,-;-,-;-
1985,53.46,0.45,0.03,0,0,0,Super Mario Bros.;NES,Ghostbusters;2600,Alter Ego;PC,-;-,-;-,-;-
1986,36.41,0.66,0,0,0,0,The Legend of Zelda;NES,Solaris;2600,-;-,-;-,-;-,-;-
1987,19.76,1.98,0,0,0,0,Zelda II: The Adventure of Link;NES,Kung-Fu Master;2600,-;-,-;-,-;-,-;-
1988,46.44,0.75,0.03,0,0,0,Super Mario Bros. 3;NES,River Raid II;2600,SimCity;PC,-;-,-;-,-;-
1989,72.83,0.62,0,0,0,0,Tetris;GB,Double Dragon;2600,-;-,-;-,-;-,-;-
1990,46.79,0,0,2.6,0,0,Super Mario World;SNES,-;-,-;-,Streets of Rage;GEN,-;-,-;-
1991,27.89,0,0,4.34,0,0,The Legend of Zelda: A Link to the Past;SNES,-;-,-;-,Sonic the Hedgehog;GEN,-;-,-;-
1992,60.44,0,3.03,12.7,0,0,Super Mario Land 2: 6 Golden Coins;GB,-;-,SimCity 2000;PC,Sonic the Hedgehog 2;GEN,-;-,-;-
1993,43.62,0.21,,4.57,0,0,Super Mario All-Stars;SNES,The King of Fighters '94 (CD);NG,-;-,-;GEN,-;-,-;-
1994,47.36,0.82,12.86,12.12,6.02,0,Donkey Kong Country;SNES,Samurai Shodown II;NG,Doom II: Hell on Earth;PC,Sonic & Knuckles;GEN,Battle Arena Toshinden;PS,-;-
